2023-11-15 07:37:11,025 INFO    StreamThr :9835 [internal.py:wandb_internal():86] W&B internal server running at pid: 9835, started at: 2023-11-15 07:37:11.025524
2023-11-15 07:37:11,026 DEBUG   HandlerThread:9835 [handler.py:handle_request():146] handle_request: status
2023-11-15 07:37:11,028 INFO    WriterThread:9835 [datastore.py:open_for_write():85] open: /home/mash/v7_new/yolov7/wandb/run-20231115_073711-82aat7qy/run-82aat7qy.wandb
2023-11-15 07:37:11,029 DEBUG   SenderThread:9835 [sender.py:send():380] send: header
2023-11-15 07:37:11,029 DEBUG   SenderThread:9835 [sender.py:send():380] send: run
2023-11-15 07:37:11,039 INFO    SenderThread:9835 [sender.py:_maybe_setup_resume():759] checking resume status for None/YOLOR/82aat7qy
2023-11-15 07:37:12,358 INFO    SenderThread:9835 [dir_watcher.py:__init__():211] watching files in: /home/mash/v7_new/yolov7/wandb/run-20231115_073711-82aat7qy/files
2023-11-15 07:37:12,358 INFO    SenderThread:9835 [sender.py:_start_run_threads():1124] run started: 82aat7qy with start time 1699994231.025248
2023-11-15 07:37:12,360 DEBUG   HandlerThread:9835 [handler.py:handle_request():146] handle_request: check_version
2023-11-15 07:37:12,361 DEBUG   SenderThread:9835 [sender.py:send_request():407] send_request: check_version
2023-11-15 07:37:12,577 DEBUG   HandlerThread:9835 [handler.py:handle_request():146] handle_request: run_start
2023-11-15 07:37:12,585 DEBUG   HandlerThread:9835 [system_info.py:__init__():32] System info init
2023-11-15 07:37:12,585 DEBUG   HandlerThread:9835 [system_info.py:__init__():47] System info init done
2023-11-15 07:37:12,585 INFO    HandlerThread:9835 [system_monitor.py:start():194] Starting system monitor
2023-11-15 07:37:12,585 INFO    SystemMonitor:9835 [system_monitor.py:_start():158] Starting system asset monitoring threads
2023-11-15 07:37:12,585 INFO    HandlerThread:9835 [system_monitor.py:probe():214] Collecting system info
2023-11-15 07:37:12,586 INFO    SystemMonitor:9835 [interfaces.py:start():190] Started cpu monitoring
2023-11-15 07:37:12,587 INFO    SystemMonitor:9835 [interfaces.py:start():190] Started disk monitoring
2023-11-15 07:37:12,587 INFO    SystemMonitor:9835 [interfaces.py:start():190] Started gpu monitoring
2023-11-15 07:37:12,588 INFO    SystemMonitor:9835 [interfaces.py:start():190] Started memory monitoring
